"""mid""- Xtallize Fe(3+x)S2",,
S (wt%S),T (K),P (GPa) 
14.10859,1454.85,30
15.6,1355,23
16,1400,23
17,1440,23
18,1461,23
19,1472,23
20,1482,23
21,1492,23
16,1327,21
17,1390,21
18,1420,21
19,1443,21
20,1454,21
21,1461,21
22,1467,21
23,1472,21
24,1475,21
25,1480,21
15.79507,1340.97,22
15.34477,1369.44,24
15.12679,1383.675,25
14.91359,1397.91,26
14.70517,1412.145,27
14.50153,1426.38,28
14.30267,1440.615,29
14,1454.8252,29.9534
15,1462.2065,28.607
16,1468.9928,27.3888
17,1475.0443,26.2898
18,1480.2212,25.301
19,1484.3837,24.4134
20,1487.392,23.618
21,1489.1063,22.9058
22,1489.3868,22.2678
23,1488.0937,21.695
24,1485.0872,21.1784
25,1480.2275,20.709